mediaID,type,name,artist,genre,description,subject,category,collection,mode,section,year,round,matchNumber,filename,url,thumbUrl,sha256,width,height,durationSeconds,sizeKB,knowledge,competition_matchNumber,competition_round,competition_section,competition_year,github_baseRemotePath,github_fullRelativePath,github_fullUrl,github_localRelativePath,github_localThumbnailRelativePath,github_relativePath,github_thumbnailRelativePath,github_thumbnailUrl,github_url,id,media_type,originalName,source_app,source_capturedAt,source_sourceID,source_sourceJson,source_videoTimestamp
2026-bz-mus-all-shook-up,audio,All Shook Up,Elvis Presley,Rock and Roll,1957 hit,Music,,,competition,buzzer,2026,1,3,all-shook-up.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/all-shook-up.mp3,,0ce871da938cc7d007aec44375db7cde129afea704ad50195bda88cd38a7a8cc,,,7.811,122.58,-1,3,1,buzzer,2026,audio/2026/buzzer/mus,audio/2026/buzzer/mus/all-shook-up.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/all-shook-up.mp3,../github-ready/audio/2026/buzzer/mus/all-shook-up.mp3,,audio/2026/buzzer/mus/all-shook-up.mp3,,,https://audio.learnwithcole.com/audio/2026/buzzer/mus/all-shook-up.mp3,media-1783285414326-erxscr9,audio,all-shook-up.mp3,quiz-media-tagger,2026-07-05T21:03:34.326Z,media-1783285414326-erxscr9,2026-003-tvj.zip,
2026-alt-mus-best-of-me,audio,Best Of Me,Romain Virgo,Reggae,Released 2020,Music,,,competition,alternate,2026,1,4,best-of-me.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/best-of-me.mp3,,7819bf30d2c755497e244aa9798688349734198aaa4c76582f44176028f07599,,,5.277,82.99,-1,4,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/best-of-me.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/best-of-me.mp3,../github-ready/audio/2026/alternate/mus/best-of-me.mp3,,audio/2026/alternate/mus/best-of-me.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/best-of-me.mp3,media-1783286483796-ltyiauq,audio,best-of-me.mp3,quiz-media-tagger,2026-07-05T21:21:23.796Z,media-1783286483796-ltyiauq,2026-004-tvj.zip,
2026-alt-mus-destiny,audio,Destiny,Buju Banton,Reggae,From fifth studio album-Inna Heights,Music,,,competition,alternate,2026,1,1,destiny.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/destiny.mp3,,c7fe8f49bee6cd8ee4db3bca6533e063f6463fac14b47dd561a654cf3c2c1947,,,7.993,31.81,-1,1,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/destiny.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/destiny.mp3,../github-ready/audio/2026/alternate/mus/destiny.mp3,,audio/2026/alternate/mus/destiny.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/destiny.mp3,media-1783262623493-1ptx9mo,audio,destiny.mp3,quiz-media-tagger,2026-07-05T14:43:43.493Z,media-1783262623493-1ptx9mo,2026-001-tvj.zip,
2026-bz-mus-princess-black,audio,Princess Black,Edi Fitzroy,Reggae,Released 1984,Music,,,competition,buzzer,2026,1,4,princess-black.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/princess-black.mp3,,945f4ac7bffe6d6c9d1b57d8d4acbd4481af19f3faddc451d0b93f827c23ca3c,,,8.829,138.5,-1,4,1,buzzer,2026,audio/2026/buzzer/mus,audio/2026/buzzer/mus/princess-black.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/princess-black.mp3,../github-ready/audio/2026/buzzer/mus/princess-black.mp3,,audio/2026/buzzer/mus/princess-black.mp3,,,https://audio.learnwithcole.com/audio/2026/buzzer/mus/princess-black.mp3,media-1783286622047-g4d6mi3,audio,princess-black.mp3,quiz-media-tagger,2026-07-05T21:23:42.047Z,media-1783286622047-g4d6mi3,2026-004-tvj.zip,
2026-alt-mus-purple-rain,audio,Purple Rain,Prince,R&B,Primarily considered Rock Ballad,Music,,,competition,alternate,2026,1,3,purple-rain.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/purple-rain.mp3,,9126e632b9922f6aaef93315008aa162921feed35a2182bb6a0251c50ddd013a,,,7.471,117.28,-1,3,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/purple-rain.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/purple-rain.mp3,../github-ready/audio/2026/alternate/mus/purple-rain.mp3,,audio/2026/alternate/mus/purple-rain.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/purple-rain.mp3,media-1783285585170-v8mr6qb,audio,purple-rain.mp3,quiz-media-tagger,2026-07-05T21:06:25.170Z,media-1783285585170-v8mr6qb,2026-003-tvj.zip,
2026-alt-mus-rebel-in-me,audio,Rebel In Me,Jimmy Cliff,Reggae,Released in 1989,Music,,,competition,alternate,2026,1,2,rebel-in-me.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/rebel-in-me.mp3,,7f9e5f6a8180b01c7a3cb90744d1b2fb15d813aabcde8fb7f86d5db637d67e4b,,,7.497,29.84,-1,2,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/rebel-in-me.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/rebel-in-me.mp3,../github-ready/audio/2026/alternate/mus/rebel-in-me.mp3,,audio/2026/alternate/mus/rebel-in-me.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/rebel-in-me.mp3,media-1783275851272-cmnqlnt,audio,rebel-in-me.mp3,quiz-media-tagger,2026-07-05T18:24:11.272Z,media-1783275851272-cmnqlnt,2026-002-tvj.zip,
2026-alt-mus-sitting-in-limbo,audio,Sitting In Limbo,Jimmy Cliff,Reggae,Released on 1971 album-Another Cycle,Music,,,competition,alternate,2026,1,2,sitting-in-limbo.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/sitting-in-limbo.mp3,,e4bb26e1a73d44216009ab3ccb8ca98df389b0bdca46439897e40240bf08526b,,,7.262,28.86,-1,2,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/sitting-in-limbo.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/sitting-in-limbo.mp3,../github-ready/audio/2026/alternate/mus/sitting-in-limbo.mp3,,audio/2026/alternate/mus/sitting-in-limbo.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/sitting-in-limbo.mp3,media-1783275983466-0d65gve,audio,sitting-in-limbo.mp3,quiz-media-tagger,2026-07-05T18:26:23.467Z,media-1783275983466-0d65gve,2026-002-tvj.zip,
2026-alt-mus-stop-loving-you,audio,Stop Loving You,Freddie McGregor,Reggae,Released 1982,Music,,,competition,alternate,2026,1,4,stop-loving-you.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/stop-loving-you.mp3,,b933680083a53b1f7cb6db68d70d4d1acaa758da954edf8ed0d858841cb80764,,,5.277,82.99,-1,4,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/stop-loving-you.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/stop-loving-you.mp3,../github-ready/audio/2026/alternate/mus/stop-loving-you.mp3,,audio/2026/alternate/mus/stop-loving-you.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/stop-loving-you.mp3,media-1783286725171-evvhzn2,audio,stop-loving-you.mp3,quiz-media-tagger,2026-07-05T21:25:25.171Z,media-1783286725171-evvhzn2,2026-004-tvj.zip,
2026-bz-mus-to-all-the-girls-i-ve-loved-before,audio,To All the Girls I've Loved Before,Julio Iglesias and Willie Nelson,Country,Featured on 1984 album-1100 Bel Air Place,Music,,,competition,buzzer,2026,1,2,to-all-the-girls-i-ve-loved-before.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,,fed967b7640ccbe45c43a5a540b3609168c8bc0b3217d41d50b49b4e110214d0,,,8.333,33.08,-1,2,1,buzzer,2026,audio/2026/buzzer/mus,audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,https://audio.learnwithcole.com/audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,../github-ready/audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,,audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,,,https://audio.learnwithcole.com/audio/2026/buzzer/mus/to-all-the-girls-i-ve-loved-before.mp3,media-1783276169802-tfwfgfd,audio,to-all-the-girls-i-ve-loved-before.mp3,quiz-media-tagger,2026-07-05T18:29:29.802Z,media-1783276169802-tfwfgfd,2026-002-tvj.zip,
2026-alt-mus-wanna-be-loved,audio,Wanna Be Loved,Buju Banton,Reggae,From 1995 album-Til Shiloh,Music,,,competition,alternate,2026,1,1,wanna-be-loved.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/wanna-be-loved.mp3,,56b1156d177d7933fcd3e7e8b739d8412c43691e9c32d5a1e89307cad3e0cb65,,,6.557,26.04,-1,1,1,alternate,2026,audio/2026/alternate/mus,audio/2026/alternate/mus/wanna-be-loved.mp3,https://audio.learnwithcole.com/audio/2026/alternate/mus/wanna-be-loved.mp3,../github-ready/audio/2026/alternate/mus/wanna-be-loved.mp3,,audio/2026/alternate/mus/wanna-be-loved.mp3,,,https://audio.learnwithcole.com/audio/2026/alternate/mus/wanna-be-loved.mp3,media-1783262713024-t0oktpk,audio,wanna-be-loved.mp3,quiz-media-tagger,2026-07-05T14:45:13.024Z,media-1783262713024-t0oktpk,2026-001-tvj.zip,
